hour	value
463966	106
463967	119
463968	113
463969	120
463970	124
463971	120
463972	124
463973	108
463974	114
463975	101
463976	101
463977	89
463978	68
463979	62
463980	53
463981	50
463982	49
463983	47
463984	49
463985	52
463986	54
463987	62
463988	68
463989	81
463990	96
463991	113
463992	107
463993	118
463994	122
463995	118
463996	108
463997	111
463998	104
463999	106
464000	101
464001	84
464002	70
464003	60
464004	57
464005	47
464006	47
464007	46
464008	47
464009	51
464010	55
464011	55
464012	72
464013	81
464014	96
464015	107
464016	105
464017	111
464018	113
464019	122
464020	110
464021	106
464022	100
464023	103
464024	98
464025	89
464026	70
464027	65
464028	50
464029	46
464030	45
464031	49
464032	48
464033	47
464034	56
464035	60
464036	73
464037	78
464038	99
464039	112
464040	112
464041	123
464042	113
464043	116
464044	123
464045	114
464046	109
464047	113
464048	101
464049	92
464050	75
464051	68
464052	57
464053	49
464054	55
464055	50
464056	55
464057	49
464058	61
464059	66
464060	71
464061	90
464062	107
464063	111
464064	115
464065	129
464066	118
464067	125
464068	118
464069	117
464070	120
464071	104
464072	103
464073	92
464074	75
464075	68
464076	62
464077	51
464078	52
464079	53
464080	49
464081	49
464082	55
464083	61
464084	77
464085	86
464086	103
464087	106
464088	113
464089	124
464090	122
464091	124
464092	121
464093	117
464094	114
464095	100
464096	93
464097	91
464098	71
464099	67
464100	56
464101	50
464102	51
464103	47
464104	48
464105	48
464106	53
464107	57
464108	70
464109	87
464110	97
464111	105
464112	112
464113	119
464114	116
464115	113
464116	118
464117	104
464118	112
464119	103
464120	90
464121	84
464122	66
464123	66
464124	52
464125	50
464126	46
464127	49
464128	48
464129	49
464130	50
464131	59
464132	71
464133	76
464134	95
464135	109
464136	114
464137	106
464138	119
464139	113
464140	102
464141	98
464142	96
464143	96
464144	88
464145	76
464146	63
464147	54
464148	50
464149	45
464150	46
464151	42
464152	44
464153	46
464154	50
464155	51
464156	66
464157	77
464158	91
464159	93
464160	109
464161	104
464162	112
464163	114
464164	103
464165	107
464166	98
464167	97
464168	85
464169	77
464170	64
464171	59
464172	50
464173	45
464174	46
464175	46
464176	42
464177	44
464178	49
464179	54
464180	64
464181	74
464182	94
464183	97
464184	108
464185	102
464186	111
464187	109
464188	102
464189	99
464190	98
464191	99
464192	90
464193	76
464194	60
464195	60
464196	51
464197	45
464198	42
464199	43
464200	45
464201	45
464202	48
464203	56
464204	63
464205	76
464206	94
464207	106
464208	110
464209	107
464210	111
464211	113
464212	116
464213	115
464214	107
464215	95
464216	92
464217	91
464218	67
464219	60
464220	53
464221	49
464222	51
464223	50
464224	50
464225	50
464226	51
464227	61
464228	74
464229	84
464230	105
464231	109
464232	109
464233	117
464234	111
464235	120
464236	107
464237	107
464238	101
464239	100
464240	96
464241	86
464242	67
464243	60
464244	52
464245	47
464246	51
464247	49
464248	49
464249	48
464250	52
464251	56
464252	69
464253	80
464254	95
464255	101
464256	106
464257	116
464258	118
464259	116
464260	112
464261	103
464262	112
464263	107
464264	97
464265	83
464266	68
464267	61
464268	52
464269	44
464270	49
464271	47
464272	48
464273	48
464274	52
464275	57
464276	72
464277	75
464278	94
464279	111
464280	112
464281	110
464282	110
464283	117
464284	106
464285	106
464286	107
464287	100
464288	95
464289	84
464290	67
464291	59
464292	55
464293	46
464294	44
464295	43
464296	44
464297	44
464298	51
464299	57
464300	66
464301	81
464302	88
464303	96
464304	97
464305	101
464306	110
464307	101
464308	104
464309	100
464310	102
464311	94
464312	91
464313	77
464314	61
464315	58
464316	46
464317	40
464318	40
464319	44
464320	43
464321	45
464322	45
464323	50
464324	64
464325	72
464326	87
464327	100
464328	102
464329	106
464330	98
464331	107
464332	106
464333	101
464334	94
464335	96
464336	84
464337	79
464338	61
464339	54
464340	47
464341	40
464342	45
464343	45
464344	45
464345	43
464346	47
464347	54
464348	60
464349	78
464350	88
464351	92
464352	95
464353	109
464354	101
464355	98
464356	99
464357	98
464358	101
464359	91
464360	82
464361	75
464362	62
464363	57
464364	47
464365	40
464366	40
464367	43
464368	45
464369	45
464370	50
464371	56
464372	68
464373	74
464374	94
464375	97
464376	101
464377	101
464378	109
464379	117
464380	109
464381	102
464382	102
464383	100
464384	95
464385	89
464386	65
464387	58
464388	56
464389	46
464390	45
464391	51
464392	46
464393	48
464394	53
464395	59
464396	73
464397	84
464398	105
464399	100
464400	109
464401	110
464402	116
464403	111
464404	113
464405	116
464406	113
464407	100
464408	92
464409	85
464410	67
464411	65
464412	57
464413	45
464414	46
464415	49
464416	50
464417	45
464418	49
464419	59
464420	70
464421	80
464422	94
464423	106
464424	106
464425	107
464426	111
464427	108
464428	117
464429	107
464430	111
464431	101
464432	96
464433	82
464434	68
464435	64
464436	53
464437	45
464438	45
464439	44
464440	46
464441	45
464442	54
464443	56
464444	66
464445	76
464446	95
464447	108
464448	107
464449	111
464450	117
464451	114
464452	111
464453	100
464454	108
464455	99
464456	86
464457	83
464458	63
464459	58
464460	48
464461	42
464462	45
464463	47
464464	43
464465	46
464466	49
464467	51
464468	63
464469	75
464470	96
464471	94
464472	99
464473	99
464474	99
464475	98
464476	96
464477	95
464478	102
464479	96
464480	87
464481	80
464482	64
464483	56
464484	47
464485	40
464486	40
464487	42
464488	43
464489	44
464490	46
464491	53
464492	64
464493	76
464494	92
464495	100
464496	101
464497	106
464498	97
464499	102
464500	94
464501	94
464502	99
464503	86
464504	82
464505	75
464506	63
464507	57
464508	49
464509	42
464510	40
464511	42
464512	43
464513	40
464514	49
464515	54
464516	61
464517	72
464518	94
464519	97
464520	97
464521	98
464522	101
464523	98
464524	106
464525	91
464526	93
464527	93
464528	84
464529	75
464530	60
464531	56
464532	45
464533	42
464534	43
464535	44
464536	44
464537	41
464538	46
464539	55
464540	61
464541	80
464542	87
464543	93
464544	105
464545	104
464546	109
464547	110
464548	113
464549	110
464550	103
464551	94
464552	91
464553	86
464554	68
464555	64
464556	51
464557	46
464558	45
464559	47
464560	46
464561	45
464562	51
464563	59
464564	71
464565	78
464566	103
464567	111
464568	114
464569	120
464570	113
464571	113
464572	118
464573	105
464574	111
464575	100
464576	97
464577	89
464578	64
464579	58
464580	55
464581	50
464582	47
464583	48
464584	45
464585	45
464586	53
464587	58
464588	69
464589	78
464590	105
464591	111
464592	110
464593	108
464594	113
464595	108
464596	106
464597	103
464598	106
464599	95
464600	98
464601	87
464602	63
464603	60
464604	56
464605	45
464606	44
464607	46
464608	48
464609	46
464610	50
464611	59
464612	72
464613	81
464614	104
464615	106
464616	110
464617	112
464618	117
464619	118
464620	105
464621	108
464622	110
464623	92
464624	87
464625	83
464626	67
464627	56
464628	55
464629	47
464630	44
464631	45
464632	44
464633	46
464634	50
464635	53
464636	66
464637	74
464638	96
464639	99
464640	102
464641	102
464642	102
464643	114
464644	101
464645	95
464646	105
464647	91
464648	88
464649	83
464650	59
464651	55
464652	50
464653	44
464654	42
464655	43
464656	44
464657	41
464658	50
464659	52
464660	63
464661	80
464662	89
464663	98
464664	101
464665	101
464666	101
464667	113
464668	107
464669	102
464670	99
464671	95
464672	83
464673	83
464674	59
464675	58
464676	48
464677	43
464678	44
464679	46
464680	43
464681	44
464682	46
464683	58
464684	68
464685	80
464686	91
464687	101
464688	109
464689	104
464690	109
464691	113
464692	112
464693	99
464694	97
464695	95
464696	93
464697	83
464698	62
464699	55
464700	52
464701	42
464702	42
464703	46
464704	44
464705	44
464706	51
464707	57
464708	66
464709	83
464710	98
464711	107
464712	116
464713	113
464714	112
464715	114
464716	114
464717	111
464718	110
464719	110
464720	100
464721	86
464722	69
464723	61
464724	56
464725	51
464726	47
464727	49
464728	53
464729	51
464730	53
464731	63
464732	74
464733	86
464734	110
464735	114
464736	123
464737	116
464738	122
464739	113
464740	120
464741	111
464742	114
464743	105
464744	102
464745	86
464746	73
464747	68
464748	57
464749	52
464750	51
464751	49
464752	47
464753	48
464754	54
464755	63
464756	68
464757	84
464758	110
464759	111
464760	119
464761	112
464762	128
464763	124
464764	125
464765	112
464766	113
464767	105
464768	97
464769	90
464770	73
464771	63
464772	54
464773	51
464774	50
464775	47
464776	52
464777	47
464778	55
464779	62
464780	71
464781	89
464782	100
464783	108
464784	120
464785	117
464786	119
464787	117
464788	117
464789	119
464790	107
464791	103
464792	100
464793	89
464794	74
464795	65
464796	56
464797	49
464798	47
464799	49
464800	45
464801	47
464802	50
464803	58
464804	72
464805	77
464806	102
464807	102
464808	116
464809	117
464810	113
464811	109
464812	116
464813	112
464814	110
464815	97
464816	92
464817	80
464818	63
464819	59
464820	54
464821	47
464822	44
464823	43
464824	47
464825	48
464826	49
464827	57
464828	62
464829	74
464830	99
464831	96
464832	110
464833	104
464834	118
464835	115
464836	113
464837	112
464838	104
464839	102
464840	94
464841	78
464842	66
464843	61
464844	51
464845	43
464846	44
464847	44
464848	44
464849	44
464850	53
464851	56
464852	71
464853	80
464854	91
464855	100
464856	114
464857	116
464858	118
464859	109
464860	109
464861	100
464862	97
464863	102
464864	91
464865	87
464866	70
464867	61
464868	55
464869	44
464870	46
464871	47
464872	44
464873	48
464874	53
464875	55
464876	69
464877	83
464878	100
464879	111
464880	118
464881	113
464882	111
464883	122
464884	115
464885	112
464886	107
464887	110
464888	105
464889	91
464890	76
464891	63
464892	57
464893	52
464894	54
464895	54
464896	54
464897	55
464898	55
464899	64
464900	70
464901	82
464902	111
464903	114
464904	111
464905	118
464906	127
464907	128
464908	119
464909	120
464910	120
464911	114
464912	106
464913	95
464914	75
464915	62
464916	58
464917	51
464918	49
464919	47
464920	49
464921	52
464922	54
464923	61
464924	77
464925	91
464926	108
464927	106
464928	114
464929	114
464930	118
464931	128
464932	112
464933	112
464934	111
464935	107
464936	104
464937	86
464938	67
464939	65
464940	59
464941	50
464942	52
464943	51
464944	48
464945	50
464946	56
464947	61
464948	69
464949	81
464950	105
464951	104
464952	117
464953	115
464954	113
464955	109
464956	119
464957	110
464958	107
464959	100
464960	91
464961	88
464962	72
464963	64
464964	56
464965	45
464966	49
464967	50
464968	46
464969	45
464970	52
464971	57
464972	67
464973	75
464974	97
464975	97
464976	103
464977	110
464978	108
464979	104
464980	106
464981	106
464982	103
464983	101
464984	85
464985	78
464986	60
464987	56
464988	53
464989	47
464990	46
464991	47
464992	42
464993	46
464994	50
464995	55
464996	65
464997	77
464998	98
464999	101
465000	109
465001	109
465002	103
465003	101
465004	102
465005	96
465006	98
465007	93
465008	83
465009	82
465010	66
465011	61
465012	50
465013	43
465014	46
465015	47
465016	43
465017	46
465018	46
465019	55
465020	61
465021	78
465022	95
465023	98
465024	108
465025	110
465026	110
465027	100
465028	99
465029	99
465030	93
465031	91
465032	92
465033	84
465034	65
465035	60
465036	111
465037	101
465038	102
465039	103
465040	104
465041	105
465042	109
465043	114
465044	125
465045	140
465046	153
465047	164
465048	113
465049	107
465050	108
465051	110
465052	117
465053	115
465054	105
465055	96
465056	100
465057	84
465058	74
465059	66
465060	58
465061	51
465062	48
465063	51
465064	46
465065	46
465066	52
465067	121
465068	134
465069	146
465070	165
465071	168
465072	172
465073	176
465074	185
465075	174
465076	169
465077	172
465078	161
465079	162
465080	158
465081	142
465082	130
465083	126
465084	112
465085	108
465086	109
465087	107
465088	108
465089	108
465090	116
465091	121
465092	131
465093	142
465094	166
465095	163
465096	173
465097	174
465098	174
465099	174
465100	175
465101	167
465102	165
465103	155
465104	152
465105	206
465106	184
465107	181
465108	53
465109	49
465110	45
465111	46
465112	45
465113	46
465114	53
465115	55
465116	70
465117	79
465118	93
465119	110
465120	107
465121	105
465122	116
465123	113
465124	113
465125	108
465126	103
465127	103
465128	90
465129	79
465130	68
465131	60
465132	50
465133	44
465134	46
465135	45
465136	46
465137	44
465138	50
465139	52
465140	62
465141	79
465142	92
465143	92
465144	97
465145	111
465146	112
465147	105
465148	105
465149	100
465150	95
465151	88
465152	84
465153	80
465154	63
465155	56
465156	48
465157	43
465158	41
465159	40
465160	41
465161	42
465162	45
465163	53
465164	63
465165	74
465166	85
465167	89
465168	97
465169	105
465170	97
465171	98
465172	95
465173	96
465174	91
465175	84
465176	85
465177	81
465178	64
465179	58
465180	46
465181	43
465182	43
465183	42
465184	43
465185	44
465186	46
465187	55
465188	62
465189	75
465190	85
465191	90
465192	98
465193	101
465194	96
465195	96
465196	97
465197	98
465198	89
465199	91
465200	88
465201	78
465202	57
465203	55
465204	49
465205	40
465206	42
465207	42
465208	40
465209	41
465210	49
465211	55
465212	60
465213	79
465214	92
465215	95
465216	105
465217	109
465218	100
465219	100
465220	108
465221	101
465222	98
465223	94
465224	90
465225	76
465226	66
465227	61
465228	51
465229	43
465230	48
465231	48
465232	44
465233	44
465234	48
465235	55
465236	67
465237	80
465238	96
465239	95
465240	100
465241	104
465242	115
465243	103
465244	109
465245	102
465246	95
465247	100
465248	86
465249	79
465250	63
465251	56
465252	49
465253	47
465254	43
465255	46
465256	44
465257	45
465258	48
465259	55
465260	62
465261	81
465262	91
465263	98
465264	100
465265	103
465266	110
465267	108
465268	101
465269	100
465270	105
465271	92
465272	83
465273	75
465274	62
465275	55
465276	50
465277	42
465278	45
465279	42
465280	44
465281	41
465282	49
465283	56
465284	62
465285	78
465286	92
465287	92
465288	105
465289	107
465290	109
465291	105
465292	98
465293	94
465294	92
465295	84
465296	87
465297	77
465298	60
465299	51
465300	49
465301	39
465302	40
465303	42
465304	43
465305	39
465306	44
465307	49
465308	56
465309	70
465310	82
465311	85
465312	94
465313	94
465314	99
465315	95
465316	95
465317	96
465318	86
465319	78
465320	75
465321	70
465322	56
465323	47
465324	42
465325	39
465326	40
465327	37
465328	36
465329	41
465330	40
465331	45
465332	53
465333	68
465334	77
465335	87
465336	93
465337	90
465338	91
465339	92
465340	88
465341	87
465342	81
465343	81
465344	79
465345	67
465346	57
465347	46
465348	46
465349	38
465350	40
465351	39
465352	40
465353	40
465354	43
465355	47
465356	56
465357	65
465358	76
465359	86
465360	94
465361	93
465362	94
465363	96
465364	87
465365	90
465366	80
465367	82
465368	75
465369	67
465370	51
465371	50
465372	44
465373	35
465374	35
465375	40
465376	38
465377	38
465378	44
465379	46
465380	56
465381	68
465382	79
465383	83
465384	94
465385	92
465386	104
465387	91
465388	101
465389	99
465390	87
465391	87
465392	84
465393	74
465394	63
465395	53
465396	46
465397	44
465398	44
465399	43
465400	41
465401	44
465402	46
465403	52
465404	58
465405	70
465406	89
465407	94
465408	100
465409	99
465410	97
465411	98
465412	101
465413	101
465414	89
465415	88
465416	86
465417	79
465418	57
465419	58
465420	51
465421	40
465422	41
465423	39
465424	45
465425	43
465426	47
465427	49
465428	57
465429	76
465430	92
465431	95
465432	93
465433	98
465434	102
465435	98
465436	96
465437	92
465438	99
465439	94
465440	79
465441	72
465442	58
465443	57
465444	50
465445	39
465446	41
465447	39
465448	44
465449	40
465450	45
465451	49
465452	59
465453	73
465454	90
465455	92
465456	102
465457	99
465458	99
465459	100
465460	100
465461	98
465462	93
465463	92
465464	84
465465	73
465466	59
465467	51
465468	44
465469	42
465470	41
465471	39
465472	42
465473	42
465474	45
465475	47
465476	56
465477	64
465478	79
465479	92
465480	96
465481	89
465482	100
465483	93
465484	94
465485	93
465486	84
465487	85
465488	79
465489	67
465490	56
465491	47
465492	46
465493	39
465494	38
465495	36
465496	40
465497	40
465498	42
465499	45
465500	57
465501	63
465502	78
465503	87
465504	92
465505	94
465506	98
465507	98
465508	93
465509	83
465510	88
465511	78
465512	72
465513	65
465514	55
465515	48
465516	43
465517	37
465518	38
465519	36
465520	40
465521	39
465522	42
465523	50
465524	57
465525	64
465526	77
465527	92
465528	94
465529	87
465530	93
465531	95
465532	87
465533	84
465534	85
465535	84
465536	81
465537	70
465538	57
465539	53
465540	41
465541	37
465542	40
465543	36
465544	39
465545	41
465546	46
465547	49
465548	58
465549	73
465550	83
465551	96
465552	90
465553	99
465554	102
465555	94
465556	101
465557	94
465558	97
465559	90
465560	84
465561	80
465562	61
465563	60
465564	47
465565	41
465566	44
465567	41
465568	43
465569	44
465570	47
465571	53
465572	67
465573	72
465574	89
465575	92
465576	96
465577	107
465578	106
465579	107
465580	98
465581	103
465582	92
465583	90
465584	85
465585	83
465586	63
465587	53
465588	51
465589	46
465590	41
465591	44
465592	44
465593	42
465594	46
465595	51
465596	60
465597	72
465598	91
465599	92
465600	101
465601	109
465602	112
465603	105
465604	106
465605	104
465606	93
465607	93
465608	88
465609	82
465610	66
465611	54
465612	47
465613	41
465614	41
465615	43
465616	42
465617	42
465618	49
465619	55
465620	64
465621	77
465622	91
465623	100
465624	106
465625	105
465626	111
465627	105
465628	99
465629	92
465630	102
465631	86
465632	85
465633	79
465634	62
465635	58
465636	51
465637	44
465638	44
465639	44
465640	40
465641	40
465642	44
465643	54
465644	62
465645	68
465646	86
465647	89
465648	103
465649	94
465650	105
465651	105
465652	101
465653	99
465654	90
465655	85
465656	84
465657	73
465658	59
465659	56
465660	49
465661	42
465662	40
465663	40
465664	38
465665	39
465666	45
465667	47
465668	61
465669	69
465670	87
465671	94
465672	98
465673	99
465674	101
465675	95
465676	102
465677	94
465678	88
465679	92
465680	85
465681	76
465682	58
465683	51
465684	45
465685	40
465686	39
465687	43
465688	41
465689	42
465690	47
465691	48
465692	62
465693	67
465694	88
465695	91
465696	97
465697	103
465698	102
465699	96
465700	95
465701	97
465702	93
465703	90
465704	87
465705	73
465706	63
465707	56
465708	49
465709	40
465710	43
465711	41
465712	40
465713	43
465714	46
465715	54
465716	60
465717	75
465718	94
465719	103
465720	98
465721	108
465722	111
465723	109
465724	104
465725	98
465726	104
465727	101
465728	89
465729	88
465730	69
465731	59
465732	53
465733	48
465734	46
465735	47
465736	46
465737	46
465738	55
465739	58
465740	64
465741	81
465742	95
465743	109
465744	114
465745	109
465746	118
465747	107
465748	114
465749	103
465750	111
465751	104
465752	87
465753	87
465754	66
465755	59
465756	50
465757	48
465758	47
465759	45
465760	45
465761	50
465762	49
465763	56
465764	69
465765	75
465766	101
465767	108
465768	115
465769	114
465770	112
465771	118
465772	115
465773	112
465774	102
465775	104
465776	92
465777	87
465778	62
465779	64
465780	54
465781	45
465782	45
465783	46
465784	46
465785	48
465786	52
465787	53
465788	67
465789	80
465790	91
465791	103
465792	101
465793	108
465794	110
465795	103
465796	107
465797	104
465798	105
465799	91
465800	94
465801	83
465802	62
465803	61
465804	50
465805	47
465806	42
465807	47
465808	48
465809	48
465810	51
465811	57
465812	67
465813	77
465814	95
465815	98
465816	99
465817	108
465818	109
465819	109
465820	101
465821	96
465822	93
465823	93
465824	86
465825	76
465826	58
465827	57
465828	48
465829	44
465830	43
465831	42
465832	43
465833	43
465834	49
465835	53
465836	62
465837	69
465838	85
465839	96
465840	105
465841	98
465842	103
465843	100
465844	99
465845	101
465846	98
465847	88
465848	88
465849	78
465850	58
465851	54
465852	52
465853	40
465854	44
465855	45
465856	41
465857	43
465858	49
465859	56
465860	61
465861	76
465862	91
465863	94
465864	95
465865	102
465866	106
465867	102
465868	104
465869	94
465870	102
465871	94
465872	85
465873	83
465874	65
465875	55
465876	49
465877	43
465878	44
465879	44
465880	43
465881	45
465882	47
465883	54
465884	66
465885	76
465886	96
465887	107
465888	108
465889	109
465890	116
465891	106
465892	108
465893	111
465894	108
465895	104
465896	97
465897	80
465898	69
465899	60
465900	55
465901	50
465902	45
465903	50
465904	46
465905	49
465906	52
465907	58
465908	69
465909	86
465910	100
465911	114
465912	109
465913	121
465914	123
465915	112
465916	108
465917	115
465918	105
465919	98
465920	90
465921	86
465922	71
465923	63
465924	54
465925	49
465926	47
465927	47
465928	48
465929	46
465930	56
465931	59
465932	69
465933	76
465934	101
465935	109
465936	116
465937	110
465938	110
465939	113
465940	115
465941	105
465942	102
465943	98
465944	89
465945	86
465946	68
465947	61
465948	54
465949	49
465950	46
465951	48
465952	48
465953	49
465954	52
465955	59
465956	66
465957	83
465958	97
465959	106
465960	114
465961	105
465962	110
465963	113
465964	110
465965	107
465966	110
465967	93
465968	88
465969	82
465970	67
465971	63
465972	50
465973	43
465974	43
465975	48
465976	47
465977	48
465978	53
465979	58
465980	67
465981	74
465982	88
465983	97
465984	104
465985	99
465986	111
465987	110
465988	104
465989	99
465990	100
465991	94
465992	83
465993	77
465994	60
465995	53
465996	47
465997	43
465998	45
465999	43
466000	42
466001	44
466002	49
466003	51
466004	66
466005	75
466006	91
466007	102
466008	100
466009	103
466010	104
466011	100
466012	106
466013	101
466014	100
466015	92
466016	90
466017	76
466018	58
466019	55
466020	51
466021	44
466022	43
466023	43
466024	43
466025	45
466026	51
466027	55
466028	61
466029	71
466030	93
466031	91
466032	102
466033	103
466034	105
466035	97
466036	103
466037	101
466038	91
466039	91
466040	87
466041	81
466042	60
466043	58
466044	47
466045	41
466046	41
466047	45
466048	45
466049	43
466050	51
466051	51
466052	67
466053	80
466054	96
466055	107
466056	109
466057	103
466058	116
466059	104
466060	115
466061	100
466062	105
466063	94
466064	90
466065	88
466066	66
466067	58
466068	52
466069	48
466070	51
466071	50
466072	51
466073	48
466074	56
466075	60
466076	67
466077	82
466078	105
466079	112
466080	113
466081	111
466082	113
466083	119
466084	109
466085	106
466086	108
466087	99
466088	92
466089	83
466090	70
466091	61
466092	56
466093	46
466094	51
466095	48
466096	47
466097	47
466098	56
466099	57
466100	66
466101	79
466102	97
466103	105
466104	118
466105	118
466106	123
466107	111
466108	119
466109	114
466110	102
466111	99
466112	93
466113	89
466114	68
466115	61
466116	52
466117	49
466118	46
466119	48
466120	48
466121	50
466122	49
466123	58
466124	71
466125	78
466126	101
466127	106
466128	111
466129	115
466130	121
466131	113
466132	111
466133	107
466134	105
466135	103
466136	96
466137	82
466138	71
466139	60
466140	50
466141	49
466142	46
466143	47
466144	45
466145	47
466146	50
466147	60
466148	62
466149	76
466150	101
466151	103
466152	108
466153	102
466154	105
466155	104
466156	108
466157	100
466158	95
466159	95
466160	88
466161	77
466162	64
466163	56
466164	50
466165	44
466166	45
466167	42
466168	41
466169	43
466170	51
466171	53
466172	63
466173	79
466174	91
466175	96
466176	109
466177	103
466178	114
466179	101
466180	111
466181	100
466182	103
466183	95
466184	90
466185	80
466186	67
466187	57
466188	49
466189	42
466190	43
466191	47
466192	46
466193	47
466194	47
466195	56
466196	61
466197	75
466198	89
466199	94
466200	104
466201	107
466202	115
466203	114
466204	108
466205	105
466206	95
466207	96
466208	94
466209	81
466210	62
466211	56
466212	50
466213	46
466214	44
466215	45
466216	47
466217	48
466218	47
466219	54
466220	64
466221	76
466222	103
466223	106
466224	107
466225	112
466226	121
466227	114
466228	119
466229	114
466230	107
466231	105
466232	98
466233	82
466234	69
466235	68
466236	57
466237	48
466238	50
466239	48
466240	53
466241	50
466242	54
466243	65
466244	70
466245	83
466246	107
466247	110
466248	114
466249	114
466250	119
466251	118
466252	122
466253	111
466254	113
466255	103
466256	102
466257	88
466258	72
466259	68
466260	57
466261	49
466262	46
466263	50
466264	48
466265	52
466266	57
466267	64
466268	76
466269	80
466270	107
466271	107
466272	109
466273	117
466274	125
466275	115
466276	113
466277	106
466278	113
466279	108
466280	96
466281	88
466282	68
466283	65
466284	54
466285	48
466286	46
466287	47
466288	48
466289	47
466290	54
466291	63
466292	70
466293	82
466294	96
466295	106
466296	105
466297	113
466298	123
466299	115
466300	117
466301	113
466302	105
466303	97
466304	92
466305	84
466306	68
466307	63
466308	50
466309	46
466310	49
466311	46
466312	45
466313	46
466314	49
466315	54
466316	66
466317	75
466318	91
466319	102
466320	112
466321	105
466322	111
466323	102
466324	104
466325	97
466326	100
466327	96
466328	92
466329	77
466330	61
466331	61
466332	47
466333	46
466334	45
466335	45
466336	42
466337	47
466338	49
466339	51
466340	62
466341	75
466342	90
466343	93
466344	108
466345	109
466346	109
466347	101
466348	110
466349	96
466350	97
466351	98
466352	85
466353	74
466354	65
466355	55
466356	53
466357	45
466358	45
466359	46
466360	47
466361	46
466362	48
466363	56
466364	61
466365	75
466366	93
466367	98
466368	99
466369	99
466370	106
466371	108
466372	102
466373	105
466374	102
466375	91
466376	83
466377	76
466378	66
466379	58
466380	49
466381	41
466382	41
466383	43
466384	42
466385	47
466386	47
466387	53
466388	69
466389	79
466390	89
466391	99
466392	112
466393	108
466394	107
466395	110
466396	104
466397	109
466398	105
466399	98
466400	93
466401	89
466402	68
466403	63
466404	54
466405	50
466406	49
466407	50
466408	50
466409	46
466410	52
466411	57
466412	66
466413	80
466414	105
466415	114
466416	108
466417	109
466418	117
466419	110
466420	119
466421	109
466422	113
466423	98
466424	101
466425	81
466426	70
466427	60
466428	54
466429	51
466430	49
466431	49
466432	45
466433	50
466434	52
466435	62
466436	72
466437	79
466438	99
466439	100
466440	113
466441	115
466442	119
466443	107
466444	109
466445	113
466446	100
466447	95
466448	89
466449	85
466450	64
466451	64
466452	56
466453	49
466454	47
466455	46
466456	48
466457	49
466458	54
466459	58
466460	68
466461	83
466462	95
466463	107
466464	111
466465	110
466466	109
466467	110
466468	113
466469	100
466470	98
466471	91
466472	85
466473	86
466474	67
466475	56
466476	55
466477	42
466478	46
466479	47
466480	46
466481	42
466482	49
466483	56
466484	60
466485	72
466486	95
466487	97
466488	102
466489	102
466490	112
466491	99
466492	104
466493	103
466494	93
466495	95
466496	79
466497	80
466498	60
466499	57
466500	49
466501	43
466502	39
466503	42
466504	42
466505	45
466506	45
466507	54
466508	63
466509	70
466510	87
466511	88
466512	99
466513	104
466514	97
466515	103
466516	100
466517	99
466518	98
466519	86
466520	78
466521	79
466522	59
466523	56
466524	49
466525	44
466526	42
466527	40
466528	40
466529	43
466530	44
466531	49
466532	58
466533	73
466534	88
466535	99
466536	101
466537	102
466538	101
466539	96
466540	103
466541	95
466542	89
466543	93
466544	81
466545	70
466546	56
466547	51
466548	45
466549	43
466550	40
466551	41
466552	43
466553	42
466554	45
466555	55
466556	61
466557	74
466558	91
466559	96
466560	100
466561	110
466562	112
466563	109
466564	107
466565	97
466566	97
466567	100
466568	91
466569	78
466570	64
466571	60
466572	53
466573	46
466574	49
466575	47
466576	44
466577	45
466578	53
466579	56
466580	66
466581	83
466582	101
466583	100
466584	107
466585	115
466586	119
466587	105
466588	114
466589	113
466590	100
466591	100
466592	97
466593	88
466594	62
466595	59
466596	53
466597	48
466598	47
466599	48
466600	47
466601	47
466602	49
466603	58
466604	64
466605	74
466606	97
466607	109
466608	101
466609	110
466610	118
466611	107
466612	109
466613	112
466614	105
466615	97
466616	89
466617	86
466618	65
466619	61
466620	50
466621	45
466622	45
466623	47
466624	44
466625	49
466626	50
466627	58
466628	68
466629	79
466630	100
466631	100
466632	98
466633	105
466634	107
466635	110
466636	105
466637	101
466638	103
466639	92
466640	87
466641	80
466642	61
466643	61
466644	48
466645	44
466646	45
466647	42
466648	45
466649	45
466650	51
466651	50
466652	64
466653	72
466654	95
466655	95
466656	98
466657	97
466658	111
466659	107
466660	95
466661	101
466662	92
466663	91
466664	83
466665	73
466666	58
466667	55
466668	46
466669	42
466670	44
466671	41
466672	45
466673	40
466674	44
466675	49
466676	59
466677	74
466678	93
466679	95
466680	100
466681	96
466682	105
466683	99
466684	104
466685	97
466686	96
466687	93
466688	89
466689	74
466690	61
466691	52
466692	49
466693	42
466694	41
466695	42
466696	40
466697	42
466698	48
466699	51
466700	60
466701	69
466702	83
466703	90
466704	94
466705	108
466706	97
466707	104
466708	94
466709	96
466710	98
466711	94
466712	82
466713	80
466714	61
466715	55
466716	50
466717	41
466718	43
466719	43
466720	41
466721	42
466722	46
466723	51
466724	65
466725	75
466726	94
466727	103
466728	100
466729	113
466730	109
466731	105
466732	111
466733	111
466734	103
466735	97
466736	96
466737	86
466738	70
466739	58
466740	56
466741	48
466742	46
466743	46
466744	47
466745	46
466746	49
466747	59
466748	72
466749	85
466750	97
466751	99
466752	109
466753	119
466754	110
466755	119
466756	105
466757	102
466758	99
466759	106
466760	88
466761	79
466762	66
466763	60
466764	50
