hour	value
461811	125
461812	128
461813	117
461814	115
461815	115
461816	101
461817	98
461818	78
461819	68
461820	63
461821	54
461822	48
461823	55
461824	52
461825	53
461826	55
461827	68
461828	78
461829	85
461830	107
461831	111
461832	123
461833	121
461834	125
461835	129
461836	127
461837	114
461838	110
461839	109
461840	109
461841	88
461842	79
461843	71
461844	60
461845	47
461846	47
461847	49
461848	49
461849	55
461850	56
461851	67
461852	80
461853	86
461854	110
461855	118
461856	127
461857	122
461858	130
461859	134
461860	125
461861	123
461862	121
461863	113
461864	114
461865	101
461866	75
461867	71
461868	59
461869	57
461870	54
461871	56
461872	57
461873	53
461874	57
461875	68
461876	82
461877	94
461878	108
461879	121
461880	122
461881	123
461882	134
461883	122
461884	121
461885	126
461886	112
461887	110
461888	101
461889	98
461890	71
461891	67
461892	63
461893	52
461894	54
461895	52
461896	50
461897	51
461898	59
461899	64
461900	77
461901	91
461902	110
461903	106
461904	113
461905	115
461906	128
461907	122
461908	112
461909	120
461910	118
461911	108
461912	92
461913	92
461914	67
461915	62
461916	53
461917	50
461918	49
461919	51
461920	51
461921	50
461922	54
461923	62
461924	70
461925	86
461926	102
461927	102
461928	112
461929	109
461930	107
461931	118
461932	111
461933	112
461934	106
461935	98
461936	96
461937	84
461938	69
461939	61
461940	54
461941	43
461942	47
461943	43
461944	45
461945	45
461946	50
461947	60
461948	72
461949	76
461950	92
461951	99
461952	105
461953	107
461954	109
461955	109
461956	111
461957	102
461958	107
461959	95
461960	97
461961	87
461962	65
461963	57
461964	57
461965	46
461966	47
461967	50
461968	48
461969	45
461970	53
461971	61
461972	66
461973	86
461974	101
461975	112
461976	118
461977	117
461978	121
461979	116
461980	113
461981	109
461982	113
461983	114
461984	101
461985	89
461986	76
461987	70
461988	62
461989	51
461990	49
461991	53
461992	54
461993	50
461994	58
461995	61
461996	77
461997	93
461998	113
461999	119
462000	125
462001	127
462002	121
462003	126
462004	117
462005	124
462006	117
462007	113
462008	101
462009	87
462010	76
462011	69
462012	55
462013	47
462014	53
462015	53
462016	53
462017	55
462018	57
462019	66
462020	73
462021	94
462022	108
462023	113
462024	128
462025	125
462026	136
462027	135
462028	137
462029	119
462030	128
462031	115
462032	111
462033	106
462034	80
462035	74
462036	64
462037	56
462038	59
462039	60
462040	56
462041	54
462042	62
462043	70
462044	86
462045	94
462046	123
462047	125
462048	135
462049	133
462050	136
462051	135
462052	131
462053	122
462054	134
462055	122
462056	113
462057	106
462058	80
462059	74
462060	67
462061	57
462062	54
462063	60
462064	60
462065	59
462066	59
462067	71
462068	83
462069	103
462070	116
462071	129
462072	126
462073	134
462074	141
462075	144
462076	127
462077	129
462078	132
462079	114
462080	113
462081	95
462082	83
462083	74
462084	69
462085	57
462086	59
462087	55
462088	58
462089	60
462090	63
462091	72
462092	77
462093	92
462094	123
462095	129
462096	136
462097	129
462098	141
462099	127
462100	136
462101	128
462102	130
462103	113
462104	114
462105	98
462106	81
462107	75
462108	64
462109	52
462110	57
462111	53
462112	54
462113	55
462114	61
462115	67
462116	78
462117	97
462118	108
462119	117
462120	118
462121	131
462122	134
